Team,PTS
Washington,121
San Jose,113
Chicago,112
Arizona,107
Vancouver,103
New Jersey,103
Detroit,102
Pittsburgh,101
Los Angeles,101
Nashville,100
Buffalo,100
Colorado,95
Ottawa,94
Boston,91
Calgary,90
St. Louis,90
Anaheim,89
Philadelphia,88
Montreal,88
Dallas,88
NY Rangers,87
Minnesota,84
Winnipeg,83
Carolina,80
Tampa Bay,80
NY Islanders,79
Columbus,79
Florida,77
Toronto ,74
Edmonton,62
