TEAM,AVG,PTS,Year,SeasonPtsRank,,,Philadelphia,,
Calgary,19289,42,2013,5.5,,,,,
Carolina,17558,42,2013,5.5,,,,,
Edmonton,16839,45,2013,7,,,,,
Buffalo,18970,48,2013,9,,,,,
New Jersey,17114,48,2013,9,,,,,
Dallas,17063,48,2013,9,,,,,
Philadelphia,19786,49,2013,11,,,,,
Winnipeg,15004,51,2013,12.5,,,,,
Arizona,13923,51,2013,12.5,,,,,
Minnesota,18794,55,2013,15,,,,,
Columbus,14564,55,2013,15,,,,,
NY Islanders,13306,55,2013,15,,,,,
Detroit,20066,56,2013,18,,,,,
Ottawa,19408,56,2013,18,,,,,
NY Rangers,17200,56,2013,18,,,,,
Washington,17734,57,2013,20.5,,,,,
San Jose,17561,57,2013,20.5,,,,,
Vancouver,18947,59,2013,22.5,,,,,
Los Angeles,18178,59,2013,22.5,,,,,
St. Louis,17263,60,2013,24,,,,,
Boston,17565,62,2013,25,,,,,
Montreal,21273,63,2013,26,,,,,
Anaheim,15887,66,2013,27,,,,,
Pittsburgh,18648,72,2013,28,,,,,
Chicago,21775,77,2013,29,,,,,
Buffalo,18579,52,2014,1,,,,,
Florida,14177,66,2014,2,,,,,
Edmonton,16828,67,2014,3,,,,,
Calgary,19302,77,2014,4,,,,,
NY Islanders,14740,79,2014,5,,,,,
Vancouver,19770,83,2014,6.5,,,,,
Carolina,15483,83,2014,6.5,,,,,
Winnipeg,15004,84,2014,8,,,,,
Ottawa,18108,88,2014,10,,,,,
Nashville,16600,88,2014,10,,,,,
New Jersey,15257,88,2014,10,,,,,
Arizona,13775,89,2014,12,,,,,
Washington,18054,90,2014,13,,,,,
Dallas,14658,91,2014,14,,,,,
Detroit,22149,93,2014,15.5,,,,,
Columbus,14698,93,2014,15.5,,,,,
Philadelphia,19839,94,2014,17,,,,,
NY Rangers,18006,96,2014,18,,,,,
Minnesota,18505,98,2014,19,,,,,
Montreal,21273,100,2014,20.5,,,,,
Los Angeles,19017,100,2014,20.5,,,,,
Tampa Bay,18612,101,2014,22,,,,,
Chicago,22623,107,2014,23,,,,,
Pittsburgh,18618,109,2014,24,,,,,
San Jose,17133,111,2014,25.5,,,,,
St. Louis,17025,111,2014,25.5,,,,,
Colorado,16295,112,2014,27,,,,,
Anaheim,16469,116,2014,28,,,,,
Boston,17565,117,2014,29,,,,,
Buffalo,18580,54,2015,1,,,,,
Arizona,13345,56,2015,2,,,,,
Edmonton,16839,62,2015,3,,,,,
Carolina,12594,71,2015,4,,,,,
New Jersey,15189,78,2015,5,,,,,
Philadelphia,19270,84,2015,6,,,,,
San Jose,18707,89,2015,7.5,,,,,
Columbus,15511,89,2015,7.5,,,,,
Colorado,16176,90,2015,9,,,,,
Florida,11265,91,2015,10,,,,,
Dallas,17350,92,2015,11,,,,,
Los Angeles,18265,95,2015,12,,,,,
Boston,17565,96,2015,13,,,,,
Calgary,19097,97,2015,14,,,,,
Pittsburgh,18617,98,2015,15,,,,,
Ottawa,18246,99,2015,16.5,,,,,
Winnipeg,15037,99,2015,16.5,,,,,
Detroit,20027,100,2015,18.5,,,,,
Minnesota,19023,100,2015,18.5,,,,,
Washington,19099,101,2015,21,,,,,
Vancouver,18710,101,2015,21,,,,,
NY Islanders,15334,101,2015,21,,,,,
Chicago,21769,102,2015,23,,,,,
Nashville,16854,104,2015,24,,,,,
Tampa Bay,18823,108,2015,25,,,,,
St. Louis,18545,109,2015,26.5,,,,,
Anaheim,16874,109,2015,26.5,,,,,
Montreal,21286,110,2015,28,,,,,
NY Rangers,18006,113,2015,29,,,,,
Edmonton,16841,70,2016,1,,,,,
Vancouver,18431,75,2016,2,,,,,
Columbus,14665,76,2016,3,,,,,
Calgary,19145,77,2016,4,,,,,
Winnipeg,15294,78,2016,5.5,,,,,
Arizona,13433,78,2016,5.5,,,,,
Buffalo,18590,81,2016,7,,,,,
Montreal,21288,82,2016,8.5,,,,,
Colorado,17032,82,2016,8.5,,,,,
New Jersey,15073,84,2016,10,,,,,
Ottawa,18084,85,2016,11,,,,,
Carolina,12203,86,2016,12,,,,,
Minnesota,19827,87,2016,13,,,,,
Detroit,20027,93,2016,14.5,,,,,
Boston,18776,93,2016,14.5,,,,,
Philadelphia,19227,96,2016,16.5,,,,,
Nashville,16971,96,2016,16.5,,,,,
Tampa Bay,19092,97,2016,18,,,,,
San Jose,16746,98,2016,19,,,,,
NY Islanders,13626,100,2016,20,,,,,
NY Rangers,18006,101,2016,21,,,,,
Los Angeles,18274,102,2016,22,,,,,
Chicago,21859,103,2016,24,,,,,
Anaheim,16336,103,2016,24,,,,,
Florida,15384,103,2016,24,,,,,
Pittsburgh,18550,104,2016,26,,,,,
St. Louis,18450,107,2016,27,,,,,
Dallas,18376,109,2016,28,,,,,
Washington,18510,120,2016,29,,,,,
Colorado,14835,48,2017,1,,,,,
Vancouver,18509,69,2017,2,,,,,
New Jersey,14567,70,2017,3.5,,,,,
Arizona,13094,70,2017,3.5,,,,,
Buffalo,18141,78,2017,5,,,,,
Detroit,20027,79,2017,6.5,,,,,
Dallas,18101,79,2017,6.5,,,,,
Florida,14620,81,2017,8,,,,,
Los Angeles,18240,86,2017,9,,,,,
Winnipeg,15731,87,2017,10.5,,,,,
Carolina,11776,87,2017,10.5,,,,,
Philadelphia,19644,88,2017,12,,,,,
Tampa Bay,19092,94,2017,14.5,,,,,
Calgary,18727,94,2017,14.5,,,,,
Nashville,17159,94,2017,14.5,,,,,
NY Islanders,13101,94,2017,14.5,,,,,
Boston,17565,95,2017,17,,,,,
Ottawa,16744,98,2017,18,,,,,
St. Louis,19539,99,2017,19.5,,,,,
San Jose,17508,99,2017,19.5,,,,,
NY Rangers,18020,102,2017,21,,,,,
Montreal,21288,103,2017,22.5,,,,,
Edmonton,18347,103,2017,22.5,,,,,
Anaheim,15942,105,2017,24,,,,,
Minnesota,19070,106,2017,25,,,,,
Columbus,15857,108,2017,26,,,,,
Chicago,21751,109,2017,27,,,,,
Pittsburgh,19762,111,2017,28,,,,,
Washington,18506,118,2017,29,,,,,
Buffalo,18563,62,2018,1,,,,,
Ottawa,15829,67,2018,2,,,,,
Arizona,13040,70,2018,3,,,,,
Montreal,21299,71,2018,4,,,,,
Detroit,19515,73,2018,5.5,,,,,
Vancouver,18078,73,2018,5.5,,,,,
Chicago,21653,76,2018,7,,,,,
NY Rangers,17851,77,2018,8,,,,,
Edmonton,18347,78,2018,9,,,,,
NY Islanders,12002,80,2018,10,,,,,
Carolina,13320,83,2018,11,,,,,
Calgary,18905,84,2018,12,,,,,
Dallas,18110,92,2018,13,,,,,
St. Louis,18356,94,2018,14,,,,,
Colorado,15586,95,2018,15,,,,,
Florida,13851,96,2018,16,,,,,
Columbus,16659,97,2018,17.5,,,,,
New Jersey,15200,97,2018,17.5,,,,,
Philadelphia,19517,98,2018,19.5,,,,,
Los Angeles,18240,98,2018,19.5,,,,,
Pittsburgh,18579,100,2018,21.5,,,,,
San Jose,17365,100,2018,21.5,,,,,
Minnesota,19036,101,2018,23.5,,,,,
Anaheim,16635,101,2018,23.5,,,,,
Washington,18774,105,2018,25,,,,,
Vegas,18042,109,2018,26,,,,,
Boston,17565,112,2018,27,,,,,
Tampa Bay,19092,113,2018,28,,,,,
Winnipeg,15321,114,2018,29,,,,,
Nashville,17307,117,2018,30,,,,,
Ottawa,14553,64,2019,1,,,,,
Los Angeles,18000,71,2019,2,,,,,
New Jersey,14834,72,2019,3,,,,,
Detroit,19120,74,2019,4,,,,,
Buffalo,17908,76,2019,5,,,,,
NY Rangers,17318,78,2019,6,,,,,
Edmonton,18347,79,2019,7,,,,,
Anaheim,16814,80,2019,8,,,,,
Vancouver,18022,81,2019,9,,,,,
Philadelphia,20371,82,2019,10,,,,,
Minnesota,18907,83,2019,11,,,,,
Chicago,22734,84,2019,12,,,,,
Arizona,13989,86,2019,13.5,,,,,
Florida,13261,86,2019,13.5,,,,,
Colorado,17132,90,2019,15,,,,,
Vegas,18318,93,2019,16.5,,,,,
Dallas,18178,93,2019,16.5,,,,,
Montreal,21046,96,2019,18,,,,,
Columbus,16658,98,2019,19,,,,,
St. Louis,17361,99,2019,21,,,,,
Winnipeg,15276,99,2019,21,,,,,
Carolina,14322,99,2019,21,,,,,
Pittsburgh,18565,100,2019,23.5,,,,,
Nashville,17445,100,2019,23.5,,,,,
San Jose,17266,101,2019,25,,,,,
NY Islanders,12442,103,2019,26,,,,,
Washington,18508,104,2019,27,,,,,
Calgary,18501,107,2019,28.5,,,,,
Boston,17565,107,2019,28.5,,,,,
Tampa Bay,19092,128,2019,30,,,,,
Detroit,18716,39,2020,1,,,,,
Ottawa,12618,62,2020,2,,,,,
San Jose,16427,63,2020,3,,,,,
Los Angeles,16916,64,2020,4,,,,,
Anaheim,15846,67,2020,5,,,,,
Buffalo,17167,68,2020,6.5,,,,,
New Jersey,14899,68,2020,6.5,,,,,
Montreal,21085,71,2020,8,,,,,
Chicago,21441,72,2020,9,,,,,
Arizona,14605,74,2020,10,,,,,
Minnesota,17472,77,2020,11,,,,,
Vancouver,18679,78,2020,13,,,,,
Nashville,17407,78,2020,13,,,,,
Florida,14104,78,2020,13,,,,,
Calgary,18751,79,2020,15.5,,,,,
NY Rangers,17206,79,2020,15.5,,,,,
Winnipeg,15794,80,2020,17.5,,,,,
NY Islanders,12810,80,2020,17.5,,,,,
Carolina,16905,81,2020,19.5,,,,,
Columbus,16898,81,2020,19.5,,,,,
Dallas,20326,82,2020,21,,,,,
Edmonton,17533,83,2020,22,,,,,
Pittsburgh,18537,86,2020,23.5,,,,,
Vegas,18310,86,2020,23.5,,,,,
Philadelphia,18390,89,2020,25,,,,,
Washington,18570,90,2020,26,,,,,
Tampa Bay,18922,92,2020,27.5,,,,,
Colorado,18708,92,2020,27.5,,,,,
St. Louis,18096,94,2020,29,,,,,
Boston,17681,100,2020,30,,,,,
Montreal,12536,23,2022,1,,,,,
Arizona,11611,28,2022,2,,,,,
Seattle,17151,36,2022,3,,,,,
