Team,PTS
Vancouver,111
NY Rangers,109
St. Louis,109
Pittsburgh,108
Nashville,104
Philadelphia,103
Boston,102
Detroit,102
New Jersey,102
Chicago,101
Arizona,97
San Jose,96
Los Angeles,95
Florida,94
Washington,92
Ottawa,92
Calgary,90
Dallas,89
Buffalo,89
Colorado,88
Tampa Bay,84
Winnipeg,84
Carolina,82
Minnesota,81
Toronto ,80
Anaheim,80
NY Islanders,79
Montreal,78
Edmonton,74
Columbus,65
