Team,PTS
Colorado,72
Florida,69
Tampa Bay,68
Pittsburgh,68
Carolina,67
NY Rangers,64
Toronto ,63
Minnesota,61
Washington,61
Nashville,60
St. Louis,59
Vegas,59
Calgary,58
Boston,57
Los Angeles,55
Anaheim,55
Dallas,52
Edmonton,51
Detroit,50
Vancouver,50
Winnipeg,48
San Jose,48
Columbus,47
Chicago,41
NY Islanders,40
New Jersey,39
Ottawa,38
Philadelphia,38
Buffalo,38
Seattle,36
Arizona,28
Montreal,23
