Team,PTS
Ottawa,113
Dallas,111
Detroit,110
New Jersey,108
Philadelphia,107
Colorado,105
Vancouver,104
St. Louis,99
Toronto ,98
Minnesota,95
Anaheim,95
Tampa Bay,93
Washington,92
Edmonton,92
Boston,87
NY Islanders,83
Chicago,79
Los Angeles,78
NY Rangers,78
Arizona,78
Montreal,77
Calgary,75
Winnipeg,74
Nashville,74
San Jose,73
Buffalo,72
Florida,70
Columbus,69
Pittsburgh,65
Carolina,61
