Team,PTS
San Jose,117
Boston,116
Detroit,112
Washington,108
New Jersey,106
Chicago,104
Vancouver,100
Pittsburgh,99
Philadelphia,99
Calgary,98
Carolina,97
NY Rangers,95
Florida,93
Montreal,93
St. Louis,92
Columbus,92
Anaheim,91
Buffalo,91
Minnesota,89
Nashville,88
Edmonton,85
Ottawa,83
Dallas,83
Toronto ,81
Arizona,79
Los Angeles,79
Winnipeg,76
Colorado,69
Tampa Bay,66
NY Islanders,61
