Team,PTS
Boston,100
St. Louis,94
Colorado,92
Tampa Bay,92
Washington,90
Philadelphia,89
Pittsburgh,86
Vegas,86
Edmonton,83
Dallas,82
Carolina,81
Toronto ,81
Columbus,81
NY Islanders,80
Winnipeg,80
NY Rangers,79
Calgary,79
Florida,78
Nashville,78
Vancouver,78
Minnesota,77
Arizona,74
Chicago,72
Montreal,71
Buffalo,68
New Jersey,68
Anaheim,67
Los Angeles,64
San Jose,63
Ottawa,62
Detroit,39
