Team,PTS
NY Rangers,113
Montreal,110
Anaheim,109
St. Louis,109
Tampa Bay,108
Nashville,104
Chicago,102
Vancouver,101
Washington,101
NY Islanders,101
Minnesota,100
Detroit,100
Ottawa,99
Winnipeg,99
Pittsburgh,98
Calgary,97
Boston,96
Los Angeles,95
Dallas,92
Florida,91
Colorado,90
San Jose,89
Columbus,89
Philadelphia,84
New Jersey,78
Carolina,71
Toronto ,68
Edmonton,62
Arizona,56
Buffalo,54
