Team,PTS
Nashville,117
Winnipeg,114
Tampa Bay,113
Boston,112
Vegas,109
Washington,105
Toronto ,105
Minnesota,101
Anaheim,101
Pittsburgh,100
San Jose,100
Los Angeles,98
Philadelphia,98
New Jersey,97
Columbus,97
Florida,96
Colorado,95
St. Louis,94
Dallas,92
Calgary,84
Carolina,83
NY Islanders,80
Edmonton,78
NY Rangers,77
Chicago,76
Vancouver,73
Detroit,73
Montreal,71
Arizona,70
Ottawa,67
Buffalo,62
