Team,PTS
Chicago,77
Pittsburgh,72
Anaheim,66
Montreal,63
Boston,62
St. Louis,60
Los Angeles,59
Vancouver,59
Washington,57
Toronto ,57
San Jose,57
NY Rangers,56
Ottawa,56
Detroit,56
Minnesota,55
NY Islanders,55
Columbus,55
Winnipeg,51
Arizona,51
Philadelphia,49
Dallas,48
Buffalo,48
New Jersey,48
Edmonton,45
Carolina,42
Calgary,42
Nashville,41
Tampa Bay,40
Colorado,39
Florida,36
