Team,PTS
Detroit,115
San Jose,108
Montreal,104
Pittsburgh,102
Anaheim,102
New Jersey,99
Minnesota,98
Dallas,97
NY Rangers,97
Colorado,95
Philadelphia,95
Ottawa,94
Washington,94
Calgary,94
Boston,94
Carolina,92
Nashville,91
Buffalo,90
Edmonton,88
Chicago,88
Vancouver,88
Florida,85
Arizona,83
Toronto ,83
Columbus,80
NY Islanders,79
St. Louis,79
Winnipeg,76
Los Angeles,71
Tampa Bay,71
