Team,PTS
Detroit,124
Ottawa,113
Dallas,112
Carolina,112
Buffalo,110
Nashville,106
Calgary,103
New Jersey,101
Philadelphia,101
NY Rangers,100
San Jose,99
Anaheim,98
Colorado,95
Edmonton,95
Montreal,93
Tampa Bay,92
Vancouver,92
Winnipeg,90
Toronto ,90
Los Angeles,89
Florida,85
Minnesota,84
Arizona,81
NY Islanders,78
Columbus,74
Boston,74
Washington,70
Chicago,65
Pittsburgh,58
St. Louis,57
