Team,PTS
Buffalo,113
Detroit,113
Nashville,110
Anaheim,110
San Jose,107
Dallas,107
New Jersey,107
Vancouver,105
Ottawa,105
Pittsburgh,105
Minnesota,104
Winnipeg,97
Calgary,96
Colorado,95
NY Rangers,94
Tampa Bay,93
NY Islanders,92
Toronto ,91
Montreal,90
Carolina,88
Florida,86
St. Louis,81
Boston,76
Columbus,73
Edmonton,71
Chicago,71
Washington,70
Los Angeles,68
Arizona,67
Philadelphia,56
