Team,PTS
Vancouver,117
Washington,107
Pittsburgh,106
Philadelphia,106
San Jose,105
Detroit,104
Boston,103
Tampa Bay,103
Anaheim,99
Nashville,99
Arizona,99
Los Angeles,98
Chicago,97
Montreal,96
Buffalo,96
Dallas,95
Calgary,94
NY Rangers,93
Carolina,91
St. Louis,87
Minnesota,86
Toronto ,85
New Jersey,81
Columbus,81
Winnipeg,80
Ottawa,74
NY Islanders,73
Florida,72
Colorado,68
Edmonton,62
