Team,PTS
Washington,118
Pittsburgh,111
Chicago,109
Columbus,108
Minnesota,106
Anaheim,105
Montreal,103
Edmonton,103
NY Rangers,102
San Jose,99
St. Louis,99
Ottawa,98
Boston,95
Toronto ,95
Calgary,94
Nashville,94
NY Islanders,94
Tampa Bay,94
Philadelphia,88
Winnipeg,87
Carolina,87
Los Angeles,86
Florida,81
Dallas,79
Detroit,79
Buffalo,78
New Jersey,70
Arizona,70
Vancouver,69
Colorado,48
