Team,PTS
Boston,117
Anaheim,116
Colorado,112
St. Louis,111
San Jose,111
Pittsburgh,109
Chicago,107
Tampa Bay,101
Montreal,100
Los Angeles,100
Minnesota,98
NY Rangers,96
Philadelphia,94
Columbus,93
Detroit,93
Dallas,91
Washington,90
Arizona,89
Nashville,88
New Jersey,88
Ottawa,88
Toronto ,84
Winnipeg,84
Carolina,83
Vancouver,83
NY Islanders,79
Calgary,77
Edmonton,67
Florida,66
Buffalo,52
