Team,PTS
Washington,120
Dallas,109
St. Louis,107
Pittsburgh,104
Chicago,103
Anaheim,103
Florida,103
Los Angeles,102
NY Rangers,101
NY Islanders,100
San Jose,98
Tampa Bay,97
Philadelphia,96
Nashville,96
Detroit,93
Boston,93
Minnesota,87
Carolina,86
Ottawa,85
New Jersey,84
Colorado,82
Montreal,82
Buffalo,81
Arizona,78
Winnipeg,78
Calgary,77
Columbus,76
Vancouver,75
Edmonton,70
Toronto ,69
