Team,PTS
* --BOSBoston Bruins,100
x --STLSt. Louis Blues,94
x --COLColorado Avalanche,92
x --TBTampa Bay Lightning,92
x --WSHWashington Capitals,90
x --PHIPhiladelphia Flyers,89
x --PITPittsburgh Penguins,86
x --VGKVegas Golden Knights,86
x --EDMEdmonton Oilers,83
x --DALDallas Stars,82
x --CARCarolina Hurricanes,81
x --TORToronto Maple Leafs,81
x --CBJColumbus Blue Jackets,81
x --NYINew York Islanders,80
x --WPGWinnipeg Jets,80
x --NYRNew York Rangers,79
x --CGYCalgary Flames,79
x --FLAFlorida Panthers,78
x --NSHNashville Predators,78
x --VANVancouver Canucks,78
x --MINMinnesota Wild,77
x --ARIArizona Coyotes,74
x --CHIChicago Blackhawks,72
x --MTLMontreal Canadiens,71
e --BUFBuffalo Sabres,68
e --NJNew Jersey Devils,68
e --ANAAnaheim Ducks,67
e --LALos Angeles Kings,64
e --SJSan Jose Sharks,63
e --OTTOttawa Senators,62
e --DETDetroit Red Wings,39
