Team,PTS
* --DETDetroit Red Wings,115
y --SJSan Jose Sharks,108
z --MTLMontreal Canadiens,104
y --PITPittsburgh Penguins,102
x --ANAAnaheim Ducks,102
x --NJNew Jersey Devils,99
y --MINMinnesota Wild,98
x --DALDallas Stars,97
x --NYRNew York Rangers,97
x --COLColorado Avalanche,95
x --PHIPhiladelphia Flyers,95
x --OTTOttawa Senators,94
y --WSHWashington Capitals,94
x --CGYCalgary Flames,94
x --BOSBoston Bruins,94
e --CARCarolina Hurricanes,92
x --NSHNashville Predators,91
e --BUFBuffalo Sabres,90
e --EDMEdmonton Oilers,88
e --CHIChicago Blackhawks,88
e --VANVancouver Canucks,88
e --FLAFlorida Panthers,85
e --PHXArizona Coyotes,83
e --TORToronto Maple Leafs,83
e --CBJColumbus Blue Jackets,80
e --NYINew York Islanders,79
e --STLSt. Louis Blues,79
e --ATLWinnipeg Jets,76
e --LALos Angeles Kings,71
e --TBTampa Bay Lightning,71
