Team,PTS
* --WSHWashington Capitals,118
x --PITPittsburgh Penguins,111
z --CHIChicago Blackhawks,109
x --CBJColumbus Blue Jackets,108
x --MINMinnesota Wild,106
y --ANAAnaheim Ducks,105
y --MTLMontreal Canadiens,103
x --EDMEdmonton Oilers,103
x --NYRNew York Rangers,102
x --SJSan Jose Sharks,99
x --STLSt. Louis Blues,99
x --OTTOttawa Senators,98
x --BOSBoston Bruins,95
x --TORToronto Maple Leafs,95
x --CGYCalgary Flames,94
x --NSHNashville Predators,94
e --NYINew York Islanders,94
e --TBTampa Bay Lightning,94
e --PHIPhiladelphia Flyers,88
e --WPGWinnipeg Jets,87
e --CARCarolina Hurricanes,87
e --LALos Angeles Kings,86
e --FLAFlorida Panthers,81
e --DALDallas Stars,79
e --DETDetroit Red Wings,79
e --BUFBuffalo Sabres,78
e --NJNew Jersey Devils,70
e --ARIArizona Coyotes,70
e --VANVancouver Canucks,69
e --COLColorado Avalanche,48
