Team,PTS
* --OTTOttawa Senators,113
z --DALDallas Stars,111
y --DETDetroit Red Wings,110
y --NJNew Jersey Devils,108
x --PHIPhiladelphia Flyers,107
y --COLColorado Avalanche,105
x --VANVancouver Canucks,104
x --STLSt. Louis Blues,99
x --TORToronto Maple Leafs,98
x --MINMinnesota Wild,95
x --ANAAnaheim Ducks,95
y --TBTampa Bay Lightning,93
x --WSHWashington Capitals,92
x --EDMEdmonton Oilers,92
x --BOSBoston Bruins,87
x --NYINew York Islanders,83
CHIChicago Blackhawks,79
LALos Angeles Kings,78
NYRNew York Rangers,78
PHXArizona Coyotes,78
MTLMontreal Canadiens,77
CGYCalgary Flames,75
ATLWinnipeg Jets,74
NSHNashville Predators,74
SJSan Jose Sharks,73
BUFBuffalo Sabres,72
FLAFlorida Panthers,70
CBJColumbus Blue Jackets,69
PITPittsburgh Penguins,65
CARCarolina Hurricanes,61
