Team,PTS
* --SJSan Jose Sharks,117
z --BOSBoston Bruins,116
y --DETDetroit Red Wings,112
y --WSHWashington Capitals,108
y --NJNew Jersey Devils,106
x --CHIChicago Blackhawks,104
y --VANVancouver Canucks,100
x --PITPittsburgh Penguins,99
x --PHIPhiladelphia Flyers,99
x --CGYCalgary Flames,98
x --CARCarolina Hurricanes,97
x --NYRNew York Rangers,95
e --FLAFlorida Panthers,93
x --MTLMontreal Canadiens,93
x --STLSt. Louis Blues,92
x --CBJColumbus Blue Jackets,92
x --ANAAnaheim Ducks,91
e --BUFBuffalo Sabres,91
e --MINMinnesota Wild,89
e --NSHNashville Predators,88
e --EDMEdmonton Oilers,85
e --OTTOttawa Senators,83
e --DALDallas Stars,83
e --TORToronto Maple Leafs,81
e --PHXArizona Coyotes,79
e --LALos Angeles Kings,79
e --ATLWinnipeg Jets,76
e --COLColorado Avalanche,69
e --TBTampa Bay Lightning,66
e --NYINew York Islanders,61
