Team,PTS
* --VANVancouver Canucks,111
z --NYRNew York Rangers,109
y --STLSt. Louis Blues,109
x --PITPittsburgh Penguins,108
x --NSHNashville Predators,104
x --PHIPhiladelphia Flyers,103
y --BOSBoston Bruins,102
x --DETDetroit Red Wings,102
x --NJNew Jersey Devils,102
x --CHIChicago Blackhawks,101
y --PHXArizona Coyotes,97
x --SJSan Jose Sharks,96
x --LALos Angeles Kings,95
y --FLAFlorida Panthers,94
x --WSHWashington Capitals,92
x --OTTOttawa Senators,92
e --CGYCalgary Flames,90
e --DALDallas Stars,89
e --BUFBuffalo Sabres,89
e --COLColorado Avalanche,88
e --TBTampa Bay Lightning,84
e --WPGWinnipeg Jets,84
e --CARCarolina Hurricanes,82
e --MINMinnesota Wild,81
e --TORToronto Maple Leafs,80
e --ANAAnaheim Ducks,80
e --NYINew York Islanders,79
e --MTLMontreal Canadiens,78
e --EDMEdmonton Oilers,74
e --CBJColumbus Blue Jackets,65
