Team,PTS
* --BUFBuffalo Sabres,113
z --DETDetroit Red Wings,113
x --NSHNashville Predators,110
y --ANAAnaheim Ducks,110
x --SJSan Jose Sharks,107
x --DALDallas Stars,107
y --NJNew Jersey Devils,107
y --VANVancouver Canucks,105
x --OTTOttawa Senators,105
x --PITPittsburgh Penguins,105
x --MINMinnesota Wild,104
y --ATLWinnipeg Jets,97
x --CGYCalgary Flames,96
e --COLColorado Avalanche,95
x --NYRNew York Rangers,94
x --TBTampa Bay Lightning,93
x --NYINew York Islanders,92
e --TORToronto Maple Leafs,91
e --MTLMontreal Canadiens,90
e --CARCarolina Hurricanes,88
e --FLAFlorida Panthers,86
e --STLSt. Louis Blues,81
e --BOSBoston Bruins,76
e --CBJColumbus Blue Jackets,73
e --EDMEdmonton Oilers,71
e --CHIChicago Blackhawks,71
e --WSHWashington Capitals,70
e --LALos Angeles Kings,68
e --PHXArizona Coyotes,67
e --PHIPhiladelphia Flyers,56
