Team,PTS
COLColorado Avalanche,74
FLAFlorida Panthers,71
TBTampa Bay Lightning,70
PITPittsburgh Penguins,70
CARCarolina Hurricanes,68
NYRNew York Rangers,66
TORToronto Maple Leafs,65
MINMinnesota Wild,63
WSHWashington Capitals,63
CGYCalgary Flames,62
STLSt. Louis Blues,61
NSHNashville Predators,60
VGKVegas Golden Knights,59
BOSBoston Bruins,58
EDMEdmonton Oilers,55
LALos Angeles Kings,55
ANAAnaheim Ducks,55
DALDallas Stars,54
WPGWinnipeg Jets,50
VANVancouver Canucks,50
DETDetroit Red Wings,50
SJSan Jose Sharks,48
CBJColumbus Blue Jackets,47
CHIChicago Blackhawks,43
NYINew York Islanders,40
BUFBuffalo Sabres,40
PHIPhiladelphia Flyers,39
NJNew Jersey Devils,39
OTTOttawa Senators,38
SEASeattle Kraken,36
ARIArizona Coyotes,28
MTLMontreal Canadiens,23
