Team,PTS
* --NSHNashville Predators,117
x --WPGWinnipeg Jets,114
z --TBTampa Bay Lightning,113
x --BOSBoston Bruins,112
y --VGKVegas Golden Knights,109
y --WSHWashington Capitals,105
x --TORToronto Maple Leafs,105
x --MINMinnesota Wild,101
x --ANAAnaheim Ducks,101
x --PITPittsburgh Penguins,100
x --SJSan Jose Sharks,100
x --LALos Angeles Kings,98
x --PHIPhiladelphia Flyers,98
x --NJNew Jersey Devils,97
x --CBJColumbus Blue Jackets,97
e --FLAFlorida Panthers,96
x --COLColorado Avalanche,95
e --STLSt. Louis Blues,94
e --DALDallas Stars,92
e --CGYCalgary Flames,84
e --CARCarolina Hurricanes,83
e --NYINew York Islanders,80
e --EDMEdmonton Oilers,78
e --NYRNew York Rangers,77
e --CHIChicago Blackhawks,76
e --VANVancouver Canucks,73
e --DETDetroit Red Wings,73
e --MTLMontreal Canadiens,71
e --ARIArizona Coyotes,70
e --OTTOttawa Senators,67
e --BUFBuffalo Sabres,62
