Team,PTS
*-z --DETDetroit Red Wings,124
y --OTTOttawa Senators,113
y --DALDallas Stars,112
y --CARCarolina Hurricanes,112
x --BUFBuffalo Sabres,110
x --NSHNashville Predators,106
y --CGYCalgary Flames,103
x --NJNew Jersey Devils,101
x --PHIPhiladelphia Flyers,101
x --NYRNew York Rangers,100
x --SJSan Jose Sharks,99
x --ANAAnaheim Ducks,98
x --COLColorado Avalanche,95
x --EDMEdmonton Oilers,95
x --MTLMontreal Canadiens,93
x --TBTampa Bay Lightning,92
e --VANVancouver Canucks,92
e --ATLWinnipeg Jets,90
e --TORToronto Maple Leafs,90
e --LALos Angeles Kings,89
e --FLAFlorida Panthers,85
e --MINMinnesota Wild,84
e --PHXArizona Coyotes,81
e --NYINew York Islanders,78
e --CBJColumbus Blue Jackets,74
e --BOSBoston Bruins,74
e --WSHWashington Capitals,70
e --CHIChicago Blackhawks,65
e --PITPittsburgh Penguins,58
e --STLSt. Louis Blues,57
