Team,PTS
* --WSHWashington Capitals,120
z --DALDallas Stars,109
x --STLSt. Louis Blues,107
x --PITPittsburgh Penguins,104
x --CHIChicago Blackhawks,103
y --ANAAnaheim Ducks,103
y --FLAFlorida Panthers,103
x --LALos Angeles Kings,102
x --NYRNew York Rangers,101
x --NYINew York Islanders,100
x --SJSan Jose Sharks,98
x --TBTampa Bay Lightning,97
x --PHIPhiladelphia Flyers,96
x --NSHNashville Predators,96
x --DETDetroit Red Wings,93
e --BOSBoston Bruins,93
x --MINMinnesota Wild,87
e --CARCarolina Hurricanes,86
e --OTTOttawa Senators,85
e --NJNew Jersey Devils,84
e --COLColorado Avalanche,82
e --MTLMontreal Canadiens,82
e --BUFBuffalo Sabres,81
e --ARIArizona Coyotes,78
e --WPGWinnipeg Jets,78
e --CGYCalgary Flames,77
e --CBJColumbus Blue Jackets,76
e --VANVancouver Canucks,75
e --EDMEdmonton Oilers,70
e --TORToronto Maple Leafs,69
