Team,PTS
z* --DETDetroit Red Wings,109
z --TBTampa Bay Lightning,106
y --SJSan Jose Sharks,104
y --BOSBoston Bruins,104
x --TORToronto Maple Leafs,103
x --OTTOttawa Senators,102
y --VANVancouver Canucks,101
y --PHIPhiladelphia Flyers,101
x --NJNew Jersey Devils,100
x --COLColorado Avalanche,100
x --DALDallas Stars,97
x --CGYCalgary Flames,94
x --MTLMontreal Canadiens,93
x --STLSt. Louis Blues,91
x --NYINew York Islanders,91
x --NSHNashville Predators,91
e --EDMEdmonton Oilers,89
e --BUFBuffalo Sabres,85
e --MINMinnesota Wild,83
e --LALos Angeles Kings,81
e --ATLWinnipeg Jets,78
e --ANAAnaheim Ducks,76
e --CARCarolina Hurricanes,76
e --FLAFlorida Panthers,75
e --NYRNew York Rangers,69
e --PHXArizona Coyotes,68
e --CBJColumbus Blue Jackets,62
e --WSHWashington Capitals,59
e --CHIChicago Blackhawks,59
e --PITPittsburgh Penguins,58
