Team,PTS
* --BOSBoston Bruins,117
z --ANAAnaheim Ducks,116
y --COLColorado Avalanche,112
x --STLSt. Louis Blues,111
x --SJSan Jose Sharks,111
y --PITPittsburgh Penguins,109
x --CHIChicago Blackhawks,107
x --TBTampa Bay Lightning,101
x --MTLMontreal Canadiens,100
x --LALos Angeles Kings,100
x --MINMinnesota Wild,98
x --NYRNew York Rangers,96
x --PHIPhiladelphia Flyers,94
x --CBJColumbus Blue Jackets,93
x --DETDetroit Red Wings,93
x --DALDallas Stars,91
e --WSHWashington Capitals,90
e --PHXArizona Coyotes,89
e --NSHNashville Predators,88
e --NJNew Jersey Devils,88
e --OTTOttawa Senators,88
e --TORToronto Maple Leafs,84
e --WPGWinnipeg Jets,84
e --CARCarolina Hurricanes,83
e --VANVancouver Canucks,83
e --NYINew York Islanders,79
e --CGYCalgary Flames,77
e --EDMEdmonton Oilers,67
e --FLAFlorida Panthers,66
e --BUFBuffalo Sabres,52
