Team,PTS
* --CHIChicago Blackhawks,77
z --PITPittsburgh Penguins,72
y --ANAAnaheim Ducks,66
y --MTLMontreal Canadiens,63
x --BOSBoston Bruins,62
x --STLSt. Louis Blues,60
x --LALos Angeles Kings,59
y --VANVancouver Canucks,59
y --WSHWashington Capitals,57
x --TORToronto Maple Leafs,57
x --SJSan Jose Sharks,57
x --NYRNew York Rangers,56
x --OTTOttawa Senators,56
x --DETDetroit Red Wings,56
x --MINMinnesota Wild,55
x --NYINew York Islanders,55
e --CBJColumbus Blue Jackets,55
e --WPGWinnipeg Jets,51
e --PHXArizona Coyotes,51
e --PHIPhiladelphia Flyers,49
e --DALDallas Stars,48
e --BUFBuffalo Sabres,48
e --NJNew Jersey Devils,48
e --EDMEdmonton Oilers,45
e --CARCarolina Hurricanes,42
e --CGYCalgary Flames,42
e --NSHNashville Predators,41
e --TBTampa Bay Lightning,40
e --COLColorado Avalanche,39
e --FLAFlorida Panthers,36
