Team,PTS
* --WSHWashington Capitals,121
z --SJSan Jose Sharks,113
y --CHIChicago Blackhawks,112
x --PHXArizona Coyotes,107
y --VANVancouver Canucks,103
y --NJNew Jersey Devils,103
x --DETDetroit Red Wings,102
x --PITPittsburgh Penguins,101
x --LALos Angeles Kings,101
x --NSHNashville Predators,100
y --BUFBuffalo Sabres,100
x --COLColorado Avalanche,95
x --OTTOttawa Senators,94
x --BOSBoston Bruins,91
e --CGYCalgary Flames,90
e --STLSt. Louis Blues,90
e --ANAAnaheim Ducks,89
x --PHIPhiladelphia Flyers,88
x --MTLMontreal Canadiens,88
e --DALDallas Stars,88
e --NYRNew York Rangers,87
e --MINMinnesota Wild,84
e --ATLWinnipeg Jets,83
e --CARCarolina Hurricanes,80
e --TBTampa Bay Lightning,80
e --NYINew York Islanders,79
e --CBJColumbus Blue Jackets,79
e --FLAFlorida Panthers,77
e --TORToronto Maple Leafs,74
e --EDMEdmonton Oilers,62
