Team,PTS
* --NYRNew York Rangers,113
y --MTLMontreal Canadiens,110
z --ANAAnaheim Ducks,109
y --STLSt. Louis Blues,109
x --TBTampa Bay Lightning,108
x --NSHNashville Predators,104
x --CHIChicago Blackhawks,102
x --VANVancouver Canucks,101
x --WSHWashington Capitals,101
x --NYINew York Islanders,101
x --MINMinnesota Wild,100
x --DETDetroit Red Wings,100
x --OTTOttawa Senators,99
x --WPGWinnipeg Jets,99
x --PITPittsburgh Penguins,98
x --CGYCalgary Flames,97
e --BOSBoston Bruins,96
e --LALos Angeles Kings,95
e --DALDallas Stars,92
e --FLAFlorida Panthers,91
e --COLColorado Avalanche,90
e --SJSan Jose Sharks,89
e --CBJColumbus Blue Jackets,89
e --PHIPhiladelphia Flyers,84
e --NJNew Jersey Devils,78
e --CARCarolina Hurricanes,71
e --TORToronto Maple Leafs,68
e --EDMEdmonton Oilers,62
e --ARIArizona Coyotes,56
e --BUFBuffalo Sabres,54
